pattern,balancing,verdict,criterion,witness,word,verified,time_unary_ms,time_smooth_ms,time_binary_ms,time_total_ms
xxAyBx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABAB, y=BABABABA} | tau={x=ABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABAB,True,0.8625999998912448,0.07379999988188501,0.0,0.9397000012540957
xAyBxy,"буквы B@3; разрезы 3,4",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAA,True,1.3288999998621875,0.0,0.0,1.3320999987627147
xAyByx,"буквы B@3; разрезы 3,4",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAA,True,1.2540000006993068,0.0,0.0,1.2564999997266568
xxAxBy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=AABBABA} | tau={x=BBA, y=A}",BBABBAABBABA,True,0.8606999999756226,0.03809999907389283,43.86759999943024,44.77579999911541
xAxyBy,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=BABABAB, y=ABABABA} | tau={x=BABABABABAB, y=ABA}",BABABABABABABABABABABABABABABA,True,1.3863000003766501,0.12149999929533806,0.0,1.5118000010261312
xAyyBx,разрезы 3,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABAB, y=BABABA} | tau={x=ABABABABAB, y=BA}",ABABABABABABABABABABABABAB,True,0.7847999986552168,0.0897999998414889,0.0,0.8778999999776715
xxxAyBx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABABAB, y=BABABABABA} | tau={x=ABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABABAB,True,0.8481999993819045,0.10060000022349413,0.0,0.9530999996059109
xxAxyBy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=BAB, y=BABAABA} | tau={x=BABBABA, y=A}",BABBABABABBABAABABBABAABA,True,0.9257000001525739,0.04479999915929511,713.4287999997468,714.4036999998207
xxAyyBx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABAB, y=BABABABA} | tau={x=ABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABAB,True,0.7875999999669148,0.08199999865610152,0.0,0.8718999997654464
xxAyBxx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABABAB, y=BABABABABA} | tau={x=ABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABABAB,True,0.7313000005524373,0.09099999988393392,0.0,0.8247000005212612
xAxyByx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=BABABABAB, y=ABABABABA} | tau={x=BABABABABABAB, y=ABA}",BABABABABABABABABABABABABABABABABABABABABABABAB,True,0.7039000010991003,0.08549999984097667,0.0,0.7917000002635177
xAyyyBx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABAB, y=BABABA} | tau={x=ABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABAB,True,0.9517999988020165,0.08619999971415382,0.0,1.0404999993625097
xxxxAyBx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABABABAB, y=BABABABABABA} | tau={x=ABABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABAB,True,0.8872999987943331,0.08540000089851674,0.0,0.9749000000738306
xAyByxxx,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=BBBABBBBA} | tau={x=BABBB, y=B}",BABBBABBBBABBBBABBBBABBB,True,0.8932000000640983,0.04229999831295572,162.62629999982892,163.5669000006601
xAyBxyyy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=AA, y=BAAA} | tau={x=AAABAAAB, y=A}",AAABAAABAABAAABAAABAAA,True,1.0168999997404171,0.046099999963189475,864.9372999989282,866.0051000006206
xxxAyyBx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABABAB, y=BABABABABA} | tau={x=ABABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABAB,True,1.0089000006701099,0.09199999840348028,0.0,1.1031000012735603
xxxAyBxx,нет,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABABABAB, y=BABABABABABA} | tau={x=ABABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABAB,True,0.8214999998017447,0.06329999996523838,0.0,0.8863999992172467
xAyBxyxx,разрезы 5,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=BBABBBA} | tau={x=BABB, y=B}",BABBABBBABBBBABBBABB,True,0.7604000002174871,0.045900000259280205,102.65830000025744,103.46989999925427
xAxByyxx,разрезы 5,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=ABABBBA} | tau={x=BABB, y=A}",BABBABABBBAABABBBABB,True,0.8719999987079063,0.04400000034365803,91.12440000171773,92.0456000003469
xAyBxxyy,"буквы B@3; разрезы 3,4",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAAAAA,True,1.0301000002073124,0.0,0.0,1.031500001772656
xAyByyxx,"буквы B@3; разрезы 3,4",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAAAAA,True,0.7827999997971347,0.0,0.0,0.7838000001356704
xAyyBxyy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AAA, y=A}",AAAAAABAAAAA,True,1.3146000001142966,0.0,0.0,1.3163999992684694
xAyxByxx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,3.726499999174848,0.0,0.0,3.728100000444101
xyAyBxyy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AAA, y=A}",AAAAAABAAAAA,True,1.2786000006599352,0.0,0.0,1.280399999814108
xyAxByxx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,3.0389999992621597,0.0,0.0,3.040800000235322
xAxyByxx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,4.107700000531622,0.0,0.0,4.1095000015047844
xxAyByxx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,2.192200001445599,0.0,0.0,2.193500000430504
xyAxBxyy,"буквы A@2; разрезы 2,3",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.5858000004081987,0.0,0.0,0.5872999990970129
xyAyByxx,"буквы A@2; разрезы 2,3",НЕОДНОЗНАЧЕН,unary,"sigma={x=B, y=BB} | tau={x=BB, y=B}",BBBABBBBBBB,True,0.527299998793751,0.0,0.0,0.5287000003590947
xAyyByxx,разрезы 3,НЕОДНОЗНАЧЕН,binary,"sigma={x=BA, y=ABABAAA} | tau={x=BAAABABA, y=A}",BAAABABAAAABABAAABABABAAABABA,True,0.952599999436643,0.046499999371008016,1481.4205000002403,1482.424899999387
xxAxxyBy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=AABBAB} | tau={x=BBA, y=AB}",BBABBAABBABBAABBAB,True,0.8164999999280553,0.03990000004705507,44.67870000007679,45.5392000003485
xxAxyByy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=BAA} | tau={x=BBA, y=A}",BBABBAABBAABAA,True,0.933099998292164,0.038300000596791506,35.896700001103454,36.87299999910465
xxAxByxy,нет,НЕОДНОЗНАЧЕН,binary,"sigma={x=B, y=BBABBABBA} | tau={x=BBABB, y=A}",BBABBBBABBABBABBBABBABBA,True,0.8822999989206437,0.04169999920122791,213.29010000044946,214.219100000264
xxAyyyBx,разрезы 5,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABAB, y=BABABABA} | tau={x=ABABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABAB,True,0.9367000002384884,0.0698000003467314,0.0,1.0082999997393927
xxAyyBxx,разрезы 4,НЕОДНОЗНАЧЕН,smooth,"sigma={x=ABABABABAB, y=BABABABABA} | tau={x=ABABABABABABAB, y=BA}",ABABABABABABABABABABABABABABABABABABABABABABABABABABABABABABAB,True,0.7611999990331242,0.08340000022144523,0.0,0.8470000011584489
xxAyyBxy,"буквы B@5; разрезы 5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,0.8815000001050066,0.0,0.0,0.8830000006128103
xxAyyByx,"буквы B@5; разрезы 5,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAAAAABAAA,True,0.8077999991655815,0.0,0.0,0.8092000007309252
xxAyBxxy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,3.2209999990300275,0.0,0.0,3.222299999833922
xxAyBxyx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,3.649699998277356,0.0,0.0,3.6514000003080582
xAyBxyxy,"буквы B@3; разрезы 3,4,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAAAAA,True,1.010100000712555,0.0,0.0,1.0117999991052784
xAyByxyx,"буквы B@3; разрезы 3,4,6",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AA, y=A}",AAAABAAAAAA,True,0.8594999999331776,0.0,0.0,0.8610000004409812
xAyyByxy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AAA, y=A}",AAAAAABAAAAA,True,1.1670999992929865,0.0,0.0,1.1687000005622394
xAyxBxyx,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AAA} | tau={x=AA, y=A}",AAAAAABAAAAA,True,4.007899999123765,0.0,0.0,4.010099999504746
xAxyByxy,разрезы 6,НЕОДНОЗНАЧЕН,smooth,"sigma={x=BABABABAB, y=ABABABABA} | tau={x=BABABABABABABAB, y=ABA}",BABABABABABABABABABABABABABABABABABABABABABABABABABABABA,True,0.760900000386755,0.1094999988708878,0.0,0.8729000001039822
xyAyByxy,"буквы B@4; разрезы 4,5",НЕОДНОЗНАЧЕН,unary,"sigma={x=A, y=AA} | tau={x=AAA, y=A}",AAAAAABAAAAA,True,1.0228999999526422,0.0,0.0,1.0257000012643402
